name,lat,long
"GOVT. HIGH SCHOOL, SECTOR 54",30.72783,76.72923
"GOVT HIGH SCHOOL (SMART), SECTOR 53",30.71847,76.73537
"GOVT HIGH SCHOOL, VILLAGE DADU MAJRA",30.75834,76.73274
"GOVT HIGH SCHOOL, VILLAGE DARIA",30.69955,76.81559
"GOVT INDUSTRIAL TRAINING INSTITUTE, SECTOR-28C, Chandigarh",30.71364,76.7996
"GOVT MIDDLE SCHOOL, SECTOR-26, Bapu Dham",30.72036,76.81696
GOVT MIDDLE SCHOOL SECTOR 33 B,30.7135,76.77196
"Govt Middle School, Sector 56 Chandigarh",30.73727,76.7169
GOVT MIDDLE SCHOOL VILLAGE BURAIL,30.70788,76.75832
"GOVT MODEL HIGH SCHOOL, KARSAN RAM DARBAR, PHASE 1, CHANDIGARH",30.69097,76.78806
"GOVT MODEL HIGH SCHOOL, KHUDA JASSU",30.7733,76.77049
"Govt Model High School, kishangarh",30.73324,76.83001
"GOVT. MODEL HIGH SCHOOL, MAKHAN MAJRA, CHANDIGARH",30.68333,76.8199
"GOVT MODEL HIGH SCHOOL, MAULI JAGRAN COLONY, CHANDIGARH",30.69466,76.82647
"GOVT MODEL HIGH SCHOOL, NEAR BUS STAND, MANIMAJRA",30.71398,76.8418
Govt Model High School Pocket no 1,30.71214,76.84075
"GOVT. MODEL HIGH SCHOOL, POCKET NO-8, MANIMAJRA",30.71952,76.84085
"GOVT MODEL HIGH SCHOOL (RC-1), DHANAS",30.77339,76.74687
"GOVT MODEL HIGH SCHOOL (RC-2), DHANAS",30.7715,76.74408
GOVT MODEL HIGH SCHOOL RC‐II SMALL FLATS MALOYA,30.76151,76.72076
"Govt Model High School, Sec 29B, Chandigarh",30.70985,76.79376
"GOVT. MODEL HIGH SCHOOL, SEC-37 C",30.73498,76.74761
"GOVT MODEL HIGH SCHOOL, SEC-43 A",30.72163,76.75057
"GOVT MODEL HIGH SCHOOL, SECTOR-11A, CHANDIGARH",30.7614,76.78612
"GOVT MODEL HIGH SCHOOL, SECTOR-20D, Chandigarh",30.72161,76.77776
"GOVT MODEL HIGH SCHOOL, SECTOR-22C, Chandigarh",30.731,76.76839
"GOVT MODEL HIGH SCHOOL, SECTOR-25",30.75174,76.75897
"GOVT MODEL HIGH SCHOOL, SECTOR-26, Chandigarh",30.72225,76.81189
"GOVT MODEL HIGH SCHOOL, SECTOR-28C, Chandigarh",30.71444,76.80083
"GOVT MODEL HIGH SCHOOL, SECTOR-29A",30.71124,76.79223
"GOVT MODEL HIGH SCHOOL, SECTOR 31 C, CHANDIGARH",30.69941,76.77794
"GOVT MODEL HIGH SCHOOL, SECTOR 34 C",30.71786,76.76321
"Govt Model High School, Sector 35D",30.72789,76.7579
"GOVT MODEL HIGH SCHOOL, SECTOR 38 D",30.74393,76.74231
"GOVT MODEL HIGH SCHOOL, SECTOR 38(WEST)",30.75384,76.73342
"Govt Model High School, Sector 40A",30.74048,76.7365
"GOVT. MODEL HIGH SCHOOL, SECTOR 41A",30.73506,76.74129
"GOVT. MODEL HIGH SCHOOL, SECTOR 42 B",30.72664,76.74653
"GOVT MODEL HIGH SCHOOL, SECTOR-48D",30.68784,76.7539
"Govt Model High School, Sector 7C, Chandigarh",30.7326,76.80073
"GOVT MODEL HIGH SCHOOL, VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",30.69194,76.82333
"GOVT. MODEL HIGH SCHOOL, VILLAGE BADHERI",30.73085,76.73668
"GOVT MODEL MIDDLE SCHOOL, MODERN COMPLEX (INSIDE), MANIMAJRA",30.71691,76.83065
"GOVT. MODEL MIDDLE SCHOOL, POCKET NO-10, MANIMAJRA",30.71509,76.83308
"Govt Model Middle School, Sector 23D",30.73771,76.7618
"GOVT MODEL MIDDLE SCHOOL, SECTOR 45",30.71041,76.76178
"Govt Model Middle School, Sector 49D",30.69417,76.74672
"GOVT MODEL NURSERY SCHOOL, Building No 32, SECTOR-7A",30.73967,76.80748
"GOVT. MODEL SENIOR SECONDARY SCHOOL, MODERN HOUSING COMPLEX, MANIMAJRA",30.71137,76.83242
"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 35 D",30.72515,76.75686
"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 37B",30.7391,76.75315
"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 39C",30.74144,76.72785
"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 40B",30.73855,76.73779
"GOVT MODEL SENIOR SECONDARY SCHOOL , SECTOR 44B",30.71397,76.75737
"GOVT MODEL SENIOR SECONDARY SCHOOL,SECTOR 45C",30.7031,76.75637
"GOVT. MODEL SENIOR SECONDARY SCHOOL , SECTOR 46 D",30.70139,76.76152
"GOVT MODEL SENIOR SECONDARY SCHOOL, SECTOR-47D",30.69453,76.76631
"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 56",30.73772,76.72219
"GOVT MODEL SENIOR SECONDARY SCHOOL, VILLAGE BEHLANA",30.67729,76.80095
"GOVT MODEL SR SECONDARY SCHOOL , VILLAGE-KAIMBWALA",30.75849,76.82258
"GOVT MODEL Sr Sec SCHOOL, DADUMAJRA COLONY",30.75574,76.73786
"GOVT MODEL Sr Sec SCHOOL, KARSAN RAMDARBAR, PHASE 2, CHANDIGARH",30.69198,76.79152
"GOVT MODEL Sr SEC SCHOOL, KHUDA ALI SHER",30.77653,76.80971
"GOVT MODEL Sr. Sec SCHOOL, RAIPUR KALAN, CHANDIGARH",30.68438,76.82547
"GOVT.MODEL.SR SEC.SCHOOL, SARANGPUR",30.78059,76.76357
"GOVT MODEL SR SEC SCHOOL , SECTOR - 10A, CHANDIGARH",30.75654,76.78911
"GOVT MODEL Sr SEC SCHOOL, SECTOR-15C, CHANDIGARH",30.74923,76.76975
"GOVT MODEL SR SEC SCHOOL, SECTOR-16C, Chandigarh",30.74672,76.77631
"GOVT MODEL Sr SEC SCHOOL, SECTOR-22A, Chandigarh",30.73539,76.77403
"Govt. Model Sr. Sec. School, Sector-23A, chandigarh",30.74451,76.76896
"GOVT.MODEL Sr Sec SCHOOL, SECTOR 32 C",30.70711,76.77203
"GOVT MODEL Sr Sec SCHOOL, SECTOR 33 D",30.71324,76.7673
"GOVT. MODEL Sr Sec SCHOOL, SECTOR 37 D",30.73751,76.74697
"GOVT MODEL Sr SEC SCHOOL , SECTOR - 8B, CHANDIGARH",30.73992,76.79954
"GOVT PRIMARY SCHOOL POCKET NO-1, MANIMAJRA",30.71401,76.83983
GOVT. PRIMARY SCHOOL (RC-3) DHANAS,30.76948,76.74776
"GOVT. PRIMARY SCHOOL, SECTOR-12, CHANDIGARH",30.7674,76.77003
"GOVT PRIMARY SCHOOL, SECTOR-26(TM), Bapu Dham",30.71859,76.81717
"GOVT SENIOR SECONDARY SCHOOL, MANIMAJRA TOWN, Chandigarh",30.72007,76.82919
"GOVT SENIOR SECONDARY SCHOOL, VILLAGE RAIPUR KHURD",30.67934,76.81128
"GOVT SR SEC SCHOOL, KHUDA LAHORA",30.77463,76.76991
GOVT Sr Sec SCHOOL SECTOR 45 A,30.70924,76.75669
"GOVT. SR. SEC. SCHOOL., VILLAGE - MAULI JAGRAN, CHANDIGARH",30.692,76.82582
Gurudhwara Chowk,30.71467,76.77855
"GURU HARKRISHAN PUBLIC SCHOOL, SECTOR 40C",30.73346,76.7336
"GURUKUL GLOBAL SCHOOL, MANIMAJRA, Chandigarh",30.72317,76.83521
Guru Nanak,30.73913,76.773
"GURU NANAK KHALSA SENIOR SECONDARY SCHOOL, SECTOR-30",30.71569,76.7911
Guru Nanak Public School Sector 36 Chandigarh,30.73253,76.75308
"GYMNASIUM HALL CCA , PEC, SECTOR -12, CHANDIGARH",30.76786,76.78932
Hallo Majra (Down),30.69408,76.80027
Hallo Majra (UP),30.69384,76.79988
Haripur,30.93049,76.67295
HDFC Head Office Chowk,30.63455,76.72671
High Court (Up & Down),30.7578,76.80278
Homi Bhabha Hospital,30.81583,76.7382
