0,1,2
475,Rock garden towards lake,S615
476,Rock garden Towards Sectt,S673
477,Ropar,Ropar
478,"RYAN INTERNATIONAL SCHOOL, SECTOR 49-B",S859
479,Saini Majra,S1012
480,Saketri,S334
481,Saneta,S309
482,Saneta Parking,S599
483,Santemajra,S275
484,Sarangpur Barrier (Down),S72
485,Sarangpur Barrier (Up),S73
486,Sarangpur School (Down).,S720
487,Sarangpur School (UP),S719
488,Sarangpur Village (Down).,S955
489,Sarangpur Village (UP).,S718
490,SAUPIN SCHOOL SECTOR 32 A,S893
491,SDM Office,S507
492,"S.D. SAINI PUBLIC SCHOOL, SECTOR 38C",S874
493,"SD SR SEC SCHOOL, SECTOR 24 C",S731
494,Sec-39/Water Works--13 A Towards ISBT 43.,S547
495,Sec-39/Water Works--13 C,S548
496,Sector 09/10,S676
497,Sector 10/09,S675
498,Sector 10/09 near Matka Chowk,S677
499,Sector 10/11,S610
500,Sector 10/11 Panchkula,S251
501,Sector 10/15 Panchkula,S224
502,Sector 10/16 General Hospital,S54
503,Sector 104,S587
504,Sector 10D/11,S710
505,Sector 10 Market.,S379
506,Sector 11/10,S611
507,Sector 11/10 Panchkula,S267
508,Sector 11/12 Rally Chowk Panchkula,S116
509,Sector 11/15,S118
510,Sector 11/4,S654
511,Sector-119/74,S568
512,Sector 11A/2 PEC,S994
513,Sector 11B/10,S709
514,Sector 11C/10,S711
515,Sector 11 Market,S380
516,Sector 12/2,S997
517,Sector 123 (Mohali),S666
518,Sector 125 (Mohali),S664
519,Sector 12 Panchkula (Down),S484
520,Sector 12 Panchkula (Up).,S483
521,Sector 14/15,S189
522,Sector 14/25,S236
523,Sector 15/10 Panchkula,S227
524,Sector 15/11,S119
525,Sector 15/14,S188
526,Sector 15/16,S232
527,Sector 15/24,S296
528,Sector 15D/14,S949
529,Sector 15 market.,S373
530,Sector 16/10 General Hospita,S68
531,Sector 16/15,S234
532,Sector 16/17,S59
533,Sector 16/17 near Matka Chowk,S712
534,Sector 16/23,S410
535,Sector 16/9 Panchkula,S228
536,Sector 16 Market (Down),S112
537,Sector 16 Market (Up),S111
538,Sector 17/16,S60
539,Sector 17/16 near Matka Chowk,S674
540,Sector 17/18,S81
541,Sector 17/18 (Govt. Press),S82
542,Sector 17/22,Sector 17/22
543,Sector 17/8 Panchkula,S475
544,Sector 17/9 K.C (Down),S173
545,Sector 17/9 K.C (Up),S172
546,Sector 18/17,S555
547,Sector 18/17 (Govt. Press),S85
548,Sector 18/19,S470
549,Sector 18/21,S325
550,Sector 18/8,S87
551,Sector 18D/17,S980
552,Sector 18 Market (Down),S114
553,Sector 18 Market (Up).,S113
554,Sector 19/18,S469
555,Sector 19/20,S326
556,Sector 19/27,S199
557,Sector 19/27A,S998
558,Sector 19/7,S90
559,Sector 19C/27,S947
560,Sector 19 Market (Down),S121
561,Sector 19 Market (Up),S122
562,Sector 20/19,S331
563,sector 20/21,S459
564,Sector 20/33,S264
565,Sector 20B/30A,S944
566,Sector 20C/30D,S294
567,Sector 20 Market.,S69
568,Sector 20 Panchkula,S322
569,Sector 21/18,S332
570,Sector 2/11A PEC,S995
571,Sector 2/12,S996
572,sector 21/20,S460
