,name,lat,long
471,Sector 51/52,30.70881,76.74051
472,Sector 33D/32A,30.71404,76.7773
473,Sector 37/38,30.74207,76.74892
474,Sector 37 A Bhaskar Chowk,30.74411,76.75217
475,Sector 38 Market,30.74398,76.74525
476,Sector 38/37,30.74048,76.74642
477,Sector 24/37,30.74268,76.75562
478,Sector 37 Market (Up),30.73806,76.74981
479,Sector 37 Market (Down),30.73797,76.74946
480,Sector 24/23 Chandigarh,30.74424,76.76391
481,Sector 16/23,30.7441,76.77085
482,Sector 30 Market,30.71524,76.78794
483,Sector 30/29,30.71318,76.79033
484,Sector 29/30,30.71377,76.79134
485,Sector 32/33,30.7107,76.77224
486,Sector 33/32,30.71079,76.77212
487,Sector 32 Market,30.71051,76.7735
488,Sector 46A/45,30.70689,76.76599
489,Sector 32/31 S.D. College,30.70316,76.77439
490,Sector 46/45,30.70486,76.76293
491,Sector 45/46,30.70502,76.7628
492,Sector 32A/33,30.71396,76.77739
493,Sector 46 Market (Down),30.70228,76.76466
494,Sector 29/28,30.71311,76.7987
495,Sector 28/29,30.71432,76.79767
496,Sector 28 Market (Down),30.71731,76.8035
497,Khuda Lahora (Up),30.77592,76.7699
498,New OPD (Down),30.76213,76.78179
499,New OPD (Up),30.76182,76.78159
500,Sector 44A/43,30.71862,76.75622
501,Punjab Engineering College (PEC),30.7639,76.78535
502,Sector 11A/2 PEC,30.76463,76.78688
503,Sector 2/11A PEC,30.76449,76.78788
504,Sector 11/10,30.758,76.78859
505,Sector 10/11,30.75861,76.78966
506,Sector 11B/10,30.75751,76.78794
507,Sector 2/12,30.76535,76.78824
508,Sector 12/2,30.76548,76.78815
509,Sector 22,30.73031,76.76692
510,Sector 35/22,30.72744,76.76736
511,Sector 34D/35C,30.72058,76.75918
512,Sector 34/35,30.72221,76.76184
513,Sector 35C/34D,30.72016,76.75841
514,Sector 35/34 Light Point,30.72269,76.76284
515,Sector 35/34,30.7235,76.76385
516,Sri Guru Gobind Singh Sr. Sec. School,30.72538,76.76312
517,Sector 38/40,30.7414,76.73997
518,Sector 37/24,30.74123,76.75654
519,Kaimbwala 2,30.75668,76.82146
520,Kaimbwala 1,30.75641,76.82911
521,Khuda Alisher,30.77312,76.80892
522,Punjab Civil Secratariat,30.76268,76.79969
523,Naya Gaon,30.76927,76.79225
524,Sector 10D/11,30.75611,76.78572
525,Sector 23/16,30.74353,76.77107
526,Sector 16 Market (Up),30.74698,76.77654
527,Sector 16 Market (Down),30.74666,76.7768
528,Sector 16/17,30.74208,76.77813
529,Sector 17/16,30.74193,76.77829
